Episode,Frames,Total Reward,Epsilon,Loss,Max Q-Value,Lives Lost,End Time
1,601,155.0,0.9994591000000178,0.17206694195651373,-inf,3,2024-07-28 21:45:01
2,723,460.0,0.9988084000000392,0.12077023370261014,-inf,3,2024-07-28 21:45:36
3,280,35.0,0.9985564000000475,0.15681510724659478,-inf,3,2024-07-28 21:45:52
4,727,200.0,0.9979021000000691,0.13119044418266093,-inf,3,2024-07-28 21:46:26
5,293,105.0,0.9976384000000778,0.12001815374699062,-inf,3,2024-07-28 21:46:40
6,438,120.0,0.9972442000000907,0.09292363184908209,-inf,3,2024-07-28 21:47:03
7,497,110.0,0.9967969000001055,0.08004382177737637,-inf,3,2024-07-28 21:47:29
8,1051,735.0,0.9958510000001366,0.1298598661153913,-inf,3,2024-07-28 21:48:20
9,491,105.0,0.9954091000001511,0.14698439551225262,-inf,3,2024-07-28 21:48:44
10,284,25.0,0.9951535000001596,0.0988175339052375,-inf,3,2024-07-28 21:48:57
11,517,115.0,0.9946882000001749,0.12940480784158181,-inf,3,2024-07-28 21:49:23
12,285,75.0,0.9944317000001833,0.10373183811704317,-inf,3,2024-07-28 21:49:37
13,321,45.0,0.9941428000001928,0.09058778057588596,-inf,3,2024-07-28 21:49:54
14,383,100.0,0.9937981000002042,0.11322457111846684,-inf,3,2024-07-28 21:50:13
15,466,210.0,0.993378700000218,0.11818162098431025,-inf,3,2024-07-28 21:50:36
16,465,155.0,0.9929602000002318,0.10836578829474347,-inf,3,2024-07-28 21:51:01
17,530,120.0,0.9924832000002475,0.10069807405882286,-inf,3,2024-07-28 21:51:32
18,484,265.0,0.9920476000002618,0.08825826001438228,-inf,3,2024-07-28 21:51:59
19,375,45.0,0.9917101000002729,0.07368752033511798,-inf,3,2024-07-28 21:52:21
20,366,35.0,0.9913807000002838,0.11969127277003937,-inf,3,2024-07-28 21:52:43
21,760,490.0,0.9906967000003063,0.10002948315323967,-inf,3,2024-07-28 21:53:22
22,460,150.0,0.9902827000003199,0.0989101441739046,-inf,3,2024-07-28 21:53:45
23,477,100.0,0.9898534000003341,0.08748995807154623,-inf,3,2024-07-28 21:54:09
24,414,105.0,0.9894808000003463,0.12136634914339453,-inf,3,2024-07-28 21:54:30
25,378,120.0,0.9891406000003575,0.09915747142658032,-inf,3,2024-07-28 21:54:49
26,283,65.0,0.9888859000003659,0.09271778981119079,-inf,3,2024-07-28 21:55:03
27,454,135.0,0.9884773000003794,0.08612105592527317,-inf,3,2024-07-28 21:55:30
28,448,105.0,0.9880741000003926,0.09681789653093022,-inf,3,2024-07-28 21:55:54
29,509,155.0,0.9876160000004077,0.06504457253662682,-inf,3,2024-07-28 21:56:20
30,516,120.0,0.987151600000423,0.09564955475516329,-inf,3,2024-07-28 21:56:46
31,260,65.0,0.9869176000004307,0.08037153349902768,-inf,3,2024-07-28 21:57:00
32,346,60.0,0.986606200000441,0.10095015460506856,-inf,3,2024-07-28 21:57:18
33,500,110.0,0.9861562000004558,0.0769188886731863,-inf,3,2024-07-28 21:57:43
34,431,30.0,0.9857683000004686,0.05927550115918615,-inf,3,2024-07-28 21:58:06
35,484,210.0,0.9853327000004829,0.08827405143529177,-inf,3,2024-07-28 21:58:29
36,588,155.0,0.9848035000005003,0.10914764015422183,-inf,3,2024-07-28 21:58:56
37,365,55.0,0.9844750000005111,0.10883300592229792,-inf,3,2024-07-28 21:59:14
38,403,80.0,0.9841123000005231,0.11012971821811891,-inf,3,2024-07-28 21:59:33
39,567,180.0,0.9836020000005399,0.08956199624235668,-inf,3,2024-07-28 21:59:59
40,502,120.0,0.9831502000005548,0.06908169140913097,-inf,3,2024-07-28 22:00:24
41,1162,530.0,0.9821044000005892,0.08158523729471762,-inf,3,2024-07-28 22:01:21
42,731,280.0,0.9814465000006108,0.12831195782253418,-inf,3,2024-07-28 22:01:57
43,661,215.0,0.9808516000006304,0.12445387782447277,-inf,3,2024-07-28 22:02:30
44,397,55.0,0.9804943000006422,0.10237156873761256,-inf,3,2024-07-28 22:02:49
45,532,190.0,0.980015500000658,0.08243996652081273,-inf,3,2024-07-28 22:03:16
46,469,125.0,0.9795934000006719,0.08922804065985974,-inf,3,2024-07-28 22:03:39
47,401,55.0,0.9792325000006837,0.08709030485064015,-inf,3,2024-07-28 22:04:00
48,508,155.0,0.9787753000006988,0.08641349821256136,-inf,3,2024-07-28 22:04:26
49,457,110.0,0.9783640000007123,0.10826258597736546,-inf,3,2024-07-28 22:04:50
50,1146,415.0,0.9773326000007463,0.10715397094972887,-inf,3,2024-07-28 22:05:49
51,688,250.0,0.9767134000007667,0.08282498380732398,-inf,3,2024-07-28 22:06:25
