episode_count,global_step,episodic_return,episodic_length,learning_rate,value_loss,policy_loss,entropy_loss,old_approx_kl,approx_kl,clipfrac,explained_variance,end_time
1,2864,[55.],[1467],0.00024994879672299026,0.10041067004203796,-0.0011413944885134697,1.7912681102752686,-0.0005854405462741852,2.558063715696335e-05,0.0,0.007150769233703613,20:55:00
2,3224,[90.],[1673],0.0002499231950844854,0.052499283105134964,-0.0004925299435853958,1.7912626266479492,-0.00022953515872359276,1.8897000700235367e-05,0.0,0.01994311809539795,20:55:05
3,3480,[140.],[1795],0.0002499231950844854,0.052499283105134964,-0.0004925299435853958,1.7912626266479492,-0.00022953515872359276,1.8897000700235367e-05,0.0,0.01994311809539795,20:55:06
4,3688,[180.],[1875],0.0002499231950844854,0.052499283105134964,-0.0004925299435853958,1.7912626266479492,-0.00022953515872359276,1.8897000700235367e-05,0.0,0.01994311809539795,20:55:06
5,4224,[125.],[2163],0.0002498975934459805,0.12522795796394348,-0.000279734842479229,1.7910780906677246,0.0014802869409322739,6.880145519971848e-05,0.0,0.05674988031387329,20:55:12
6,5448,[215.],[2769],0.0002498719918074757,0.09388715028762817,-0.006085223518311977,1.7887603044509888,0.001835404895246029,0.0006859186105430126,0.0,0.033590853214263916,20:55:20
7,5744,[45.],[1177],0.0002498719918074757,0.09388715028762817,-0.006085223518311977,1.7887603044509888,0.001835404895246029,0.0006859186105430126,0.0,0.033590853214263916,20:55:21
8,5952,[80.],[1173],0.0002498719918074757,0.09388715028762817,-0.006085223518311977,1.7887603044509888,0.001835404895246029,0.0006859186105430126,0.0,0.033590853214263916,20:55:22
9,6544,[120.],[1713],0.00024984639016897083,0.07383422553539276,-0.0009995060972869396,1.7873300313949585,-0.0006589875556528568,0.00046454276889562607,0.0,0.03754621744155884,20:55:28
10,7096,[330.],[3585],0.00024984639016897083,0.07383422553539276,-0.0009995060972869396,1.7873300313949585,-0.0006589875556528568,0.00046454276889562607,0.0,0.03754621744155884,20:55:29
11,7184,[125.],[1531],0.00024982078853046596,0.11351893097162247,0.00016553513705730438,1.784551739692688,0.001988502684980631,0.00036594225093722343,0.0,0.24817228317260742,20:55:33
12,7472,[125.],[2357],0.00024982078853046596,0.11351893097162247,0.00016553513705730438,1.784551739692688,0.001988502684980631,0.00036594225093722343,0.0,0.24817228317260742,20:55:34
13,7936,[390.],[4017],0.00024982078853046596,0.11351893097162247,0.00016553513705730438,1.784551739692688,0.001988502684980631,0.00036594225093722343,0.0,0.24817228317260742,20:55:35
14,9616,[150.],[1975],0.0002497695852534562,0.09752413630485535,-0.0019956324249505997,1.7580456733703613,0.0012429757043719292,0.002624169457703829,0.050048828125,0.3540489077568054,20:55:47
15,9712,[105.],[1343],0.0002497695852534562,0.09752413630485535,-0.0019956324249505997,1.7580456733703613,0.0012429757043719292,0.002624169457703829,0.050048828125,0.3540489077568054,20:55:47
16,10344,[140.],[1945],0.0002497439836149514,0.037590689957141876,-0.006051806733012199,1.768784999847412,0.002243406604975462,0.0015630819834768772,0.010009765625,0.26511847972869873,20:55:53
17,11008,[210.],[1827],0.0002497439836149514,0.037590689957141876,-0.006051806733012199,1.768784999847412,0.002243406604975462,0.0015630819834768772,0.010009765625,0.26511847972869873,20:55:54
18,11440,[245.],[3045],0.0002497183819764465,0.11717406660318375,-0.003692138008773327,1.7685924768447876,0.00395659264177084,0.0006672248709946871,0.00244140625,0.21188169717788696,20:55:59
19,11616,[120.],[1877],0.0002497183819764465,0.11717406660318375,-0.003692138008773327,1.7685924768447876,0.00395659264177084,0.0006672248709946871,0.00244140625,0.21188169717788696,20:55:59
20,11728,[105.],[1093],0.0002497183819764465,0.11717406660318375,-0.003692138008773327,1.7685924768447876,0.00395659264177084,0.0006672248709946871,0.00244140625,0.21188169717788696,20:55:59
21,11728,[120.],[2319],0.0002497183819764465,0.11717406660318375,-0.003692138008773327,1.7685924768447876,0.00395659264177084,0.0006672248709946871,0.00244140625,0.21188169717788696,20:55:59
22,12768,[345.],[3451],0.00024969278033794165,0.07294952124357224,-0.007795673795044422,1.7730530500411987,0.0027284217067062855,0.0009426574688404799,0.003662109375,0.21252167224884033,20:56:05
23,12880,[120.],[1315],0.00024969278033794165,0.07294952124357224,-0.007795673795044422,1.7730530500411987,0.0027284217067062855,0.0009426574688404799,0.003662109375,0.21252167224884033,20:56:06
24,13472,[75.],[1935],0.0002496671786994368,0.08633695542812347,-0.0012003276497125626,1.7720710039138794,0.0022425251081585884,0.0012137170415371656,0.008544921875,0.41464924812316895,20:56:11
25,14008,[80.],[1237],0.0002496671786994368,0.08633695542812347,-0.0012003276497125626,1.7720710039138794,0.0022425251081585884,0.0012137170415371656,0.008544921875,0.41464924812316895,20:56:12
26,14776,[95.],[1573],0.0002496415770609319,0.08096852898597717,-0.008262084797024727,1.7685383558273315,0.003291788976639509,0.0023724606726318598,0.050048828125,0.2667865753173828,20:56:19
27,15064,[135.],[1871],0.0002496415770609319,0.08096852898597717,-0.008262084797024727,1.7685383558273315,0.003291788976639509,0.0023724606726318598,0.050048828125,0.2667865753173828,20:56:20
28,15080,[105.],[2073],0.0002496415770609319,0.08096852898597717,-0.008262084797024727,1.7685383558273315,0.003291788976639509,0.0023724606726318598,0.050048828125,0.2667865753173828,20:56:20
29,16232,[115.],[1769],0.00024961597542242704,0.08122008293867111,-0.0036302516236901283,1.7796196937561035,0.008059763349592686,0.0017775087617337704,0.00732421875,0.4231083393096924,20:56:27
30,16624,[135.],[1917],0.00024959037378392216,0.1028304398059845,-0.0032943878322839737,1.7790824174880981,-0.0013685752637684345,0.000542136374861002,0.014892578125,0.5992657542228699,20:56:31
31,17208,[140.],[1901],0.00024959037378392216,0.1028304398059845,-0.0032943878322839737,1.7790824174880981,-0.0013685752637684345,0.000542136374861002,0.014892578125,0.5992657542228699,20:56:33
32,17296,[240.],[2833],0.00024959037378392216,0.1028304398059845,-0.0032943878322839737,1.7790824174880981,-0.0013685752637684345,0.000542136374861002,0.014892578125,0.5992657542228699,20:56:33
33,17496,[130.],[1801],0.0002495647721454173,0.047880686819553375,-0.0032251589000225067,1.7694547176361084,-0.0022525712847709656,0.0031586724799126387,0.049560546875,0.5941463708877563,20:56:38
34,18304,[125.],[1657],0.0002495647721454173,0.047880686819553375,-0.0032251589000225067,1.7694547176361084,-0.0022525712847709656,0.0031586724799126387,0.049560546875,0.5941463708877563,20:56:39
35,18456,[20.],[1159],0.0002495391705069124,0.09406746923923492,-0.011521389707922935,1.7537736892700195,0.0009422348812222481,0.002382445614784956,0.122314453125,0.5572788715362549,20:56:44
36,18800,[30.],[1127],0.0002495391705069124,0.09406746923923492,-0.011521389707922935,1.7537736892700195,0.0009422348812222481,0.002382445614784956,0.122314453125,0.5572788715362549,20:56:45
37,19328,[210.],[2311],0.0002495391705069124,0.09406746923923492,-0.011521389707922935,1.7537736892700195,0.0009422348812222481,0.002382445614784956,0.122314453125,0.5572788715362549,20:56:46
38,19384,[135.],[2183],0.0002495391705069124,0.09406746923923492,-0.011521389707922935,1.7537736892700195,0.0009422348812222481,0.002382445614784956,0.122314453125,0.5572788715362549,20:56:46
39,21112,[60.],[1203],0.00024948796722990273,0.06684120744466782,-0.005468081682920456,1.7579970359802246,-0.0022017620503902435,0.0029560786206275225,0.1064453125,0.6557233035564423,20:56:58
40,21856,[195.],[2329],0.00024946236559139786,0.08233917504549026,-0.013000188395380974,1.7432211637496948,0.00489500816911459,0.0038135037757456303,0.1689453125,0.4622069001197815,20:57:03
41,22048,[135.],[1909],0.00024946236559139786,0.08233917504549026,-0.013000188395380974,1.7432211637496948,0.00489500816911459,0.0038135037757456303,0.1689453125,0.4622069001197815,20:57:04
42,23176,[155.],[2405],0.000249436763952893,0.11754721403121948,-0.006612595170736313,1.7318594455718994,-0.0008511487394571304,0.001008457038551569,0.039794921875,0.533320277929306,20:57:10
